Survived,Pclass,Sex_encoded,Age,Fare,IsAlone,FamilySize
0,2,0,28.0,15.05,Yes,1
0,3,0,9.0,31.3875,No,7
1,2,0,1.0,39.0,No,4
1,3,1,4.0,22.025,No,3
0,1,0,28.0,50.0,Yes,1
1,3,1,28.0,15.5,No,2
1,1,0,45.0,26.55,Yes,1
0,3,0,40.0,15.5,No,3
0,3,0,36.0,7.8958,Yes,1
1,2,1,32.0,13.0,Yes,1
0,2,0,19.0,13.0,Yes,1
1,3,1,19.0,7.8542,No,2
1,2,0,3.0,26.0,No,3
1,1,1,44.0,27.7208,Yes,1
1,1,1,58.0,146.5208,Yes,1
0,3,0,28.0,7.75,Yes,1
0,3,0,42.0,8.4042,No,2
1,3,1,28.0,7.75,Yes,1
0,2,1,24.0,13.0,Yes,1
0,3,0,28.0,9.5,Yes,1
0,3,0,28.0,69.55,No,11
0,3,0,34.0,6.4958,Yes,1
0,3,0,45.5,7.225,Yes,1
1,3,0,18.0,8.05,Yes,1
0,3,1,2.0,10.4625,No,2
0,3,0,32.0,15.85,No,2
1,3,0,26.0,18.7875,Yes,1
1,3,1,16.0,7.75,Yes,1
1,1,0,40.0,31.0,Yes,1
0,3,0,24.0,7.05,Yes,1
1,2,1,35.0,21.0,Yes,1
0,3,0,22.0,7.25,Yes,1
0,2,0,30.0,13.0,Yes,1
0,3,0,28.0,7.75,No,2
1,1,1,31.0,113.275,No,2
1,3,1,27.0,7.925,Yes,1
0,2,0,42.0,27.0,No,2
1,1,1,32.0,76.2917,Yes,1
0,2,0,30.0,10.5,Yes,1
1,3,0,16.0,8.05,Yes,1
0,2,0,27.0,13.0,Yes,1
0,3,0,51.0,8.05,Yes,1
0,3,0,28.0,7.8958,Yes,1
1,1,0,38.0,90.0,No,2
0,3,0,22.0,9.35,Yes,1
1,2,0,19.0,10.5,Yes,1
0,3,0,20.5,7.25,Yes,1
0,2,0,18.0,13.0,Yes,1
0,3,1,28.0,25.4667,No,5
1,1,1,35.0,83.475,No,2
0,3,0,29.0,7.775,Yes,1
0,2,0,59.0,13.5,Yes,1
1,3,1,5.0,31.3875,No,7
0,2,0,24.0,10.5,Yes,1
0,3,1,28.0,7.55,Yes,1
0,2,0,44.0,26.0,No,2
1,2,1,8.0,26.25,No,3
0,2,0,19.0,10.5,Yes,1
0,2,0,33.0,12.275,Yes,1
0,3,1,28.0,14.4542,No,2
1,3,1,28.0,15.5,No,2
0,2,0,29.0,10.5,Yes,1
0,3,0,22.0,7.125,Yes,1
0,3,0,30.0,7.225,Yes,1
0,1,0,44.0,90.0,No,3
0,3,1,25.0,7.775,Yes,1
1,2,1,24.0,14.5,No,3
1,1,0,37.0,52.5542,No,3
0,2,0,54.0,26.0,No,2
0,3,0,28.0,7.25,Yes,1
0,3,1,29.0,10.4625,No,3
0,1,0,62.0,26.55,Yes,1
0,3,0,30.0,16.1,No,2
0,3,1,41.0,20.2125,No,3
1,3,1,29.0,15.2458,No,3
1,1,1,28.0,79.2,Yes,1
1,1,1,30.0,86.5,Yes,1
1,1,1,35.0,512.3292,Yes,1
1,2,1,50.0,26.0,No,2
0,3,0,28.0,7.75,Yes,1
1,3,0,3.0,31.3875,No,7
0,1,0,52.0,79.65,No,3
0,1,0,40.0,0.0,Yes,1
0,3,1,28.0,7.75,Yes,1
0,2,0,36.0,10.5,Yes,1
0,3,0,16.0,39.6875,No,6
1,3,0,25.0,7.775,No,2
1,1,1,58.0,153.4625,No,2
1,1,1,35.0,135.6333,Yes,1
0,1,0,28.0,31.0,Yes,1
1,3,0,25.0,0.0,Yes,1
1,2,1,41.0,19.5,No,2
0,1,0,37.0,29.7,No,2
1,3,1,28.0,7.75,Yes,1
1,1,1,63.0,77.9583,No,2
0,3,1,45.0,7.75,Yes,1
0,2,0,28.0,0.0,Yes,1
0,3,0,7.0,29.125,No,6
1,3,1,35.0,20.25,No,3
0,3,0,65.0,7.75,Yes,1
0,3,0,28.0,7.8542,Yes,1
0,3,0,16.0,9.5,Yes,1
1,3,0,19.0,8.05,Yes,1
0,1,0,28.0,26.0,Yes,1
0,3,0,33.0,8.6625,Yes,1
1,3,0,30.0,9.5,Yes,1
0,3,0,22.0,7.8958,Yes,1
1,2,0,42.0,13.0,Yes,1
1,3,1,22.0,7.75,Yes,1
1,1,1,26.0,78.85,Yes,1
1,1,1,19.0,91.0792,No,2
0,2,0,36.0,12.875,Yes,1
0,3,1,24.0,8.85,Yes,1
0,3,0,24.0,7.8958,Yes,1
0,1,0,28.0,27.7208,Yes,1
0,3,0,23.5,7.2292,Yes,1
0,1,1,2.0,151.55,No,4
1,1,0,28.0,30.5,Yes,1
1,1,1,50.0,247.5208,No,2
1,3,1,28.0,7.75,Yes,1
1,3,0,28.0,23.25,No,3
0,3,0,19.0,0.0,Yes,1
1,2,1,28.0,12.35,Yes,1
0,3,0,28.0,8.05,Yes,1
1,1,0,0.92,151.55,No,4
1,1,1,28.0,110.8833,Yes,1
1,1,1,17.0,108.9,No,2
0,2,0,30.0,24.0,No,2
1,1,1,30.0,56.9292,Yes,1
1,1,1,24.0,83.1583,Yes,1
1,1,1,18.0,262.375,No,5
0,2,1,26.0,26.0,No,3
0,3,0,28.0,7.8958,Yes,1
0,2,0,43.0,26.25,No,3
1,3,1,26.0,7.8542,Yes,1
1,2,1,24.0,26.0,No,2
0,2,0,54.0,14.0,Yes,1
1,1,1,31.0,164.8667,No,3
1,1,1,40.0,134.5,No,3
0,3,0,22.0,7.25,Yes,1
0,3,0,27.0,7.8958,Yes,1
1,2,1,30.0,12.35,Yes,1
1,2,1,22.0,29.0,No,3
0,3,0,28.0,69.55,No,11
1,1,1,36.0,135.6333,Yes,1
0,3,0,61.0,6.2375,Yes,1
1,2,1,36.0,13.0,Yes,1
1,3,1,31.0,20.525,No,3
1,1,1,16.0,57.9792,No,2
1,3,1,28.0,23.25,No,3
0,1,0,45.5,28.5,Yes,1
0,1,0,38.0,153.4625,No,2
0,3,0,16.0,18.0,No,3
1,1,1,28.0,133.65,No,2
0,3,0,28.0,7.8958,Yes,1
0,1,0,29.0,66.6,No,2
1,1,1,41.0,134.5,Yes,1
1,3,0,45.0,8.05,Yes,1
0,1,0,45.0,35.5,Yes,1
1,2,0,2.0,26.0,No,3
1,1,1,24.0,263.0,No,6
0,2,0,28.0,13.0,Yes,1
0,2,0,25.0,13.0,Yes,1
0,2,0,36.0,13.0,Yes,1
1,2,1,24.0,13.0,Yes,1
1,2,1,40.0,13.0,Yes,1
1,3,1,28.0,16.1,No,2
1,3,0,3.0,15.9,No,3
0,3,0,42.0,8.6625,Yes,1
0,3,0,23.0,9.225,Yes,1
0,1,0,28.0,35.0,Yes,1
0,3,0,15.0,7.2292,No,3
0,3,0,25.0,17.8,No,2
0,3,0,28.0,7.225,Yes,1
0,3,0,28.0,9.5,Yes,1
1,1,1,22.0,55.0,No,2
0,2,1,38.0,13.0,Yes,1
1,3,1,28.0,7.8792,Yes,1
1,3,1,28.0,7.8792,Yes,1
0,3,0,40.0,27.9,No,6
0,2,0,29.0,27.7208,No,2
0,3,1,45.0,14.4542,No,2
0,3,0,35.0,7.05,Yes,1
0,3,0,28.0,15.5,No,2
0,3,0,30.0,7.25,Yes,1
1,1,1,60.0,75.25,No,2
1,3,1,28.0,7.2292,Yes,1
1,3,1,28.0,7.75,Yes,1
1,1,1,24.0,69.3,Yes,1
1,1,0,25.0,55.4417,No,2
0,3,0,18.0,6.4958,No,2
0,3,0,19.0,8.05,Yes,1
0,1,0,22.0,135.6333,Yes,1
0,3,1,3.0,21.075,No,5
1,1,1,28.0,82.1708,No,2
1,3,1,22.0,7.25,Yes,1
0,1,0,27.0,211.5,No,3
0,3,0,20.0,4.0125,Yes,1
0,3,0,19.0,7.775,Yes,1
1,1,1,42.0,227.525,Yes,1
1,3,1,1.0,15.7417,No,3
0,3,0,32.0,7.925,Yes,1
1,1,1,35.0,52.0,No,2
0,3,0,28.0,7.8958,Yes,1
0,2,0,18.0,73.5,Yes,1
0,3,0,1.0,46.9,No,8
1,2,1,36.0,13.0,Yes,1
0,3,0,28.0,7.7292,Yes,1
1,2,1,17.0,12.0,Yes,1
1,1,0,36.0,120.0,No,4
1,3,0,21.0,7.7958,Yes,1
0,3,0,28.0,7.925,No,3
1,1,1,23.0,113.275,No,2
1,3,1,24.0,16.7,No,3
0,3,0,22.0,7.7958,Yes,1
0,3,1,31.0,7.8542,Yes,1
0,2,0,46.0,26.0,Yes,1
0,2,0,23.0,10.5,Yes,1
1,2,1,28.0,12.65,Yes,1
1,3,0,39.0,7.925,Yes,1
0,3,0,26.0,8.05,Yes,1
0,3,1,21.0,9.825,No,2
0,3,0,28.0,15.85,No,2
0,3,1,20.0,8.6625,Yes,1
0,2,0,34.0,21.0,No,2
0,3,0,51.0,7.75,Yes,1
1,2,0,3.0,18.75,No,3
0,3,0,21.0,7.775,Yes,1
0,3,1,28.0,25.4667,No,5
0,3,0,28.0,7.8958,Yes,1
0,3,0,28.0,6.8583,Yes,1
1,1,1,33.0,90.0,No,2
0,2,0,28.0,0.0,Yes,1
1,3,0,44.0,7.925,Yes,1
0,3,1,28.0,8.05,Yes,1
1,2,1,34.0,32.5,No,3
1,2,1,18.0,13.0,No,3
0,2,0,30.0,13.0,Yes,1
0,3,1,10.0,24.15,No,3
0,3,0,28.0,7.8958,Yes,1
0,3,0,21.0,7.7333,Yes,1
0,3,0,29.0,7.875,Yes,1
0,3,1,28.0,14.4,No,3
0,3,0,18.0,20.2125,No,3
0,3,0,28.0,7.25,Yes,1
1,2,1,28.0,26.0,No,2
1,2,1,19.0,26.0,Yes,1
0,3,0,28.0,7.75,Yes,1
1,3,0,32.0,8.05,Yes,1
1,1,0,28.0,26.55,Yes,1
1,3,1,28.0,16.1,No,2
1,2,1,42.0,26.0,No,2
0,3,0,17.0,7.125,Yes,1
0,1,0,50.0,55.9,No,2
1,1,1,14.0,120.0,No,4
0,3,1,21.0,34.375,No,5
1,2,1,24.0,18.75,No,6
0,1,0,64.0,263.0,No,6
0,2,0,31.0,10.5,Yes,1
1,2,1,45.0,26.25,No,3
0,3,0,20.0,9.5,Yes,1
0,3,0,25.0,7.775,No,2
1,2,1,28.0,13.0,Yes,1
1,3,0,28.0,8.1125,Yes,1
1,1,0,4.0,81.8583,No,3
1,2,1,13.0,19.5,No,2
1,1,0,34.0,26.55,Yes,1
1,3,1,5.0,19.2583,No,4
1,1,0,52.0,30.5,Yes,1
0,2,0,36.0,27.75,No,4
0,3,0,28.0,19.9667,No,2
0,1,0,30.0,27.75,Yes,1
1,1,0,49.0,89.1042,No,2
0,3,0,28.0,8.05,Yes,1
1,3,0,29.0,7.8958,Yes,1
0,1,0,65.0,26.55,Yes,1
1,1,1,28.0,51.8625,No,2
1,2,1,50.0,10.5,Yes,1
0,3,0,28.0,7.75,Yes,1
1,1,0,48.0,26.55,Yes,1
0,3,0,34.0,8.05,Yes,1
0,1,0,47.0,38.5,Yes,1
0,2,0,48.0,13.0,Yes,1
0,3,0,28.0,8.05,Yes,1
0,3,0,38.0,7.05,Yes,1
0,2,0,28.0,0.0,Yes,1
0,1,0,56.0,26.55,Yes,1
0,3,0,28.0,7.725,Yes,1
1,3,1,0.75,19.2583,No,4
0,3,0,28.0,7.25,Yes,1
0,3,0,38.0,8.6625,Yes,1
1,2,1,33.0,27.75,No,4
1,2,1,23.0,13.7917,Yes,1
0,3,1,22.0,9.8375,Yes,1
0,1,0,28.0,52.0,Yes,1
0,2,0,34.0,21.0,No,2
0,3,0,29.0,7.0458,No,2
0,3,0,22.0,7.5208,Yes,1
1,3,1,2.0,12.2875,No,2
0,3,0,9.0,46.9,No,8
0,2,0,28.0,0.0,Yes,1
0,3,0,50.0,8.05,Yes,1
1,3,1,63.0,9.5875,Yes,1
1,1,0,25.0,91.0792,No,2
0,3,1,28.0,25.4667,No,5
1,1,1,35.0,90.0,No,2
0,1,0,58.0,29.7,Yes,1
0,3,0,30.0,8.05,Yes,1
1,3,0,9.0,15.9,No,3
0,3,0,28.0,19.9667,No,2
0,3,0,21.0,7.25,Yes,1
0,1,0,55.0,30.5,Yes,1
0,1,0,71.0,49.5042,Yes,1
0,3,0,21.0,8.05,Yes,1
0,3,0,28.0,14.4583,Yes,1
1,1,1,54.0,78.2667,No,2
0,3,0,28.0,15.1,Yes,1
0,1,1,25.0,151.55,No,4
0,3,0,24.0,7.7958,Yes,1
0,3,0,17.0,8.6625,Yes,1
0,3,1,21.0,7.75,Yes,1
0,3,1,28.0,7.6292,Yes,1
0,3,1,37.0,9.5875,Yes,1
1,1,1,16.0,86.5,Yes,1
0,1,0,18.0,108.9,No,2
1,2,1,33.0,26.0,No,3
1,1,0,28.0,26.55,Yes,1
0,3,0,28.0,22.525,Yes,1
1,3,0,26.0,56.4958,Yes,1
1,3,0,29.0,7.75,Yes,1
0,3,0,28.0,8.05,Yes,1
1,1,0,36.0,26.2875,Yes,1
1,1,1,54.0,59.4,No,2
0,3,0,24.0,7.4958,Yes,1
0,1,0,47.0,34.0208,Yes,1
1,2,1,34.0,10.5,Yes,1
0,3,0,28.0,24.15,Yes,1
1,2,1,36.0,26.0,No,2
0,3,0,32.0,7.8958,Yes,1
1,1,1,30.0,93.5,Yes,1
0,3,0,22.0,7.8958,Yes,1
0,3,0,28.0,7.225,Yes,1
1,1,1,44.0,57.9792,No,2
0,3,0,28.0,7.2292,Yes,1
0,3,0,40.5,7.75,Yes,1
1,2,1,50.0,10.5,Yes,1
0,1,0,28.0,221.7792,Yes,1
0,3,0,39.0,7.925,Yes,1
0,2,0,23.0,11.5,No,4
1,2,1,2.0,26.0,No,3
0,3,0,28.0,7.2292,Yes,1
0,3,0,17.0,7.2292,No,3
1,3,1,28.0,22.3583,No,3
0,3,1,30.0,8.6625,Yes,1
1,2,1,7.0,26.25,No,3
0,1,0,45.0,26.55,Yes,1
1,1,1,30.0,106.425,Yes,1
0,3,0,28.0,14.5,Yes,1
1,1,1,22.0,49.5,No,3
1,1,1,36.0,71.0,No,3
0,3,1,9.0,31.275,No,7
0,3,1,11.0,31.275,No,7
1,2,0,32.0,26.0,No,2
0,1,0,50.0,106.425,No,2
0,1,0,64.0,26.0,Yes,1
1,2,1,19.0,26.0,No,2
1,2,0,28.0,13.8625,Yes,1
0,3,0,33.0,20.525,No,3
1,2,0,8.0,36.75,No,3
1,1,0,17.0,110.8833,No,3
0,2,0,27.0,26.0,Yes,1
0,3,0,28.0,7.8292,Yes,1
1,3,0,22.0,7.225,Yes,1
1,3,1,22.0,7.775,Yes,1
0,1,0,62.0,26.55,Yes,1
1,1,1,48.0,39.6,No,2
0,1,0,28.0,227.525,Yes,1
1,1,1,39.0,79.65,No,3
1,3,1,36.0,17.4,No,2
0,3,0,28.0,7.75,Yes,1
0,3,0,40.0,7.8958,Yes,1
0,2,0,28.0,13.5,Yes,1
0,3,0,28.0,8.05,Yes,1
0,3,1,28.0,8.05,Yes,1
0,3,0,24.0,24.15,No,3
0,3,0,19.0,7.8958,Yes,1
0,3,1,29.0,21.075,No,5
0,3,0,28.0,7.2292,Yes,1
1,3,0,32.0,7.8542,Yes,1
1,2,0,62.0,10.5,Yes,1
1,1,1,53.0,51.4792,No,3
1,1,0,36.0,26.3875,Yes,1
1,3,1,28.0,7.75,Yes,1
0,3,0,16.0,8.05,Yes,1
0,3,0,19.0,14.5,Yes,1
1,2,1,34.0,13.0,Yes,1
1,1,1,39.0,55.9,No,2
0,3,1,28.0,14.4583,No,2
1,3,0,32.0,7.925,Yes,1
1,2,1,25.0,30.0,No,3
1,1,1,39.0,110.8833,No,3
0,2,0,54.0,26.0,Yes,1
0,1,0,36.0,40.125,Yes,1
0,3,0,28.0,8.7125,Yes,1
1,1,1,18.0,79.65,No,3
0,2,0,47.0,15.0,Yes,1
1,1,0,60.0,79.2,No,3
0,3,0,22.0,8.05,Yes,1
0,3,0,28.0,8.05,Yes,1
0,3,0,35.0,7.125,Yes,1
1,1,1,52.0,78.2667,No,2
0,3,0,47.0,7.25,Yes,1
0,3,1,28.0,7.75,No,3
0,2,0,37.0,26.0,No,2
0,3,0,36.0,24.15,No,3
1,2,1,28.0,33.0,Yes,1
0,3,0,49.0,0.0,Yes,1
0,3,0,28.0,7.225,Yes,1
1,1,0,49.0,56.9292,No,2
1,2,1,24.0,27.0,No,4
0,3,0,28.0,7.8958,Yes,1
0,1,0,28.0,42.4,Yes,1
0,3,0,44.0,8.05,Yes,1
1,1,0,35.0,26.55,Yes,1
0,3,0,36.0,15.55,No,2
0,3,0,30.0,7.8958,Yes,1
1,1,0,27.0,30.5,Yes,1
1,2,1,22.0,41.5792,No,4
1,1,1,40.0,153.4625,Yes,1
0,3,1,39.0,31.275,No,7
0,3,0,28.0,7.05,Yes,1
1,3,1,28.0,15.5,No,2
0,3,0,28.0,7.75,Yes,1
0,3,0,35.0,8.05,Yes,1
1,2,1,24.0,65.0,No,4
0,3,0,34.0,14.4,No,3
0,3,1,26.0,16.1,No,2
1,2,1,4.0,39.0,No,4
0,2,0,26.0,10.5,Yes,1
0,3,0,27.0,14.4542,No,2
1,1,0,42.0,52.5542,No,2
1,3,0,20.0,15.7417,No,3
0,3,0,21.0,7.8542,Yes,1
0,3,0,21.0,16.1,Yes,1
0,1,0,61.0,32.3208,Yes,1
0,2,0,57.0,12.35,Yes,1
1,1,1,21.0,77.9583,Yes,1
0,3,0,26.0,7.8958,Yes,1
0,3,0,28.0,7.7333,Yes,1
1,1,0,80.0,30.0,Yes,1
0,3,0,51.0,7.0542,Yes,1
1,1,0,32.0,30.5,Yes,1
0,1,0,28.0,0.0,Yes,1
0,3,1,9.0,27.9,No,6
1,2,1,28.0,13.0,Yes,1
0,3,0,32.0,7.925,Yes,1
0,2,0,31.0,26.25,No,3
0,3,1,41.0,39.6875,No,6
0,3,0,28.0,16.1,No,2
0,3,0,20.0,7.8542,Yes,1
1,1,1,24.0,69.3,Yes,1
0,3,1,2.0,27.9,No,6
1,3,0,28.0,56.4958,Yes,1
1,3,1,0.75,19.2583,No,4
1,1,0,48.0,76.7292,No,2
0,3,0,19.0,7.8958,Yes,1
1,1,0,56.0,35.5,Yes,1
0,3,0,28.0,7.55,Yes,1
1,3,1,23.0,7.55,Yes,1
0,3,0,28.0,7.8958,Yes,1
1,2,1,18.0,23.0,No,2
0,3,0,21.0,8.4333,Yes,1
1,3,1,28.0,7.8292,Yes,1
0,3,1,18.0,6.75,Yes,1
0,2,0,24.0,73.5,No,3
0,3,0,28.0,7.8958,Yes,1
0,3,1,32.0,15.5,No,3
0,2,0,23.0,13.0,Yes,1
0,1,0,58.0,113.275,No,3
1,1,0,50.0,133.65,No,3
0,3,0,40.0,7.225,Yes,1
0,1,0,47.0,25.5875,Yes,1
0,3,0,36.0,7.4958,Yes,1
1,3,0,20.0,7.925,No,2
0,2,0,32.0,73.5,No,3
0,2,0,25.0,13.0,Yes,1
0,3,0,28.0,7.775,Yes,1
0,3,0,43.0,8.05,Yes,1
1,1,1,28.0,52.0,No,2
1,2,1,40.0,39.0,No,3
0,1,0,31.0,52.0,No,2
0,2,0,70.0,10.5,Yes,1
1,2,0,31.0,13.0,Yes,1
0,2,0,28.0,0.0,Yes,1
0,3,0,18.0,7.775,Yes,1
0,3,0,24.5,8.05,Yes,1
1,3,1,18.0,9.8417,Yes,1
0,3,1,43.0,46.9,No,8
1,1,0,36.0,512.3292,No,2
0,3,1,28.0,8.1375,Yes,1
1,1,0,27.0,76.7292,Yes,1
0,3,0,20.0,9.225,Yes,1
0,3,0,14.0,46.9,No,8
0,2,0,60.0,39.0,No,3
0,2,0,25.0,41.5792,No,4
0,3,0,14.0,39.6875,No,6
0,3,0,19.0,10.1708,Yes,1
0,3,0,18.0,7.7958,Yes,1
1,1,1,15.0,211.3375,No,2
1,1,0,31.0,57.0,No,2
1,3,1,4.0,13.4167,No,2
1,3,0,28.0,56.4958,Yes,1
0,3,0,25.0,7.225,Yes,1
0,1,0,60.0,26.55,Yes,1
0,2,0,52.0,13.5,Yes,1
0,3,0,44.0,8.05,Yes,1
1,3,1,28.0,7.7333,Yes,1
0,1,0,49.0,110.8833,No,3
0,3,0,42.0,7.65,Yes,1
1,1,1,18.0,227.525,No,2
1,1,0,35.0,26.2875,Yes,1
0,3,1,18.0,14.4542,No,2
0,3,0,25.0,7.7417,Yes,1
0,3,0,26.0,7.8542,No,2
0,2,0,39.0,26.0,Yes,1
1,2,1,45.0,13.5,Yes,1
1,1,0,42.0,26.2875,Yes,1
1,1,1,22.0,151.55,Yes,1
1,3,0,28.0,15.2458,No,3
1,1,1,24.0,49.5042,Yes,1
0,1,0,28.0,26.55,Yes,1
1,1,0,48.0,52.0,No,2
